RockJock Names,Matching names,RJ number,Recommended Name
Alunite,Alunite,62,Alunite
Amphibole (actinolite),Actinolite,161,Amphibole (actinolite)
Amphibole (ferrotschermakite),Ferro-tschermakite,54,Amphibole (ferrotschermakite)
Amphibole (tremolite),Tremolite,151,Amphibole (tremolite)
Analcime,Analcime,114,Analcime
Anatase,Anatase,73,Anatase
Andalusite,Andalusite,86,Andalusite
Anhydrite,Anhydrite,58,Anhydrite
Ankerite,Ankerite,19,Ankerite
Aragonite,Aragonite,16,Aragonite
Arsenopyrite,Arsenopyrite,155,Arsenopyrite
Bassanite,Bassanite,60,Bassanite
Berthierine,Berthierine,53,Berthierine
Biotite (1M),Hydrobiotite,39,Biotite (1M)
Boehmite (calc),Bohmite,144,Boehmite (calc)
Brucite,Brucite,95,Brucite
Buddingtonite,Buddingtonite,146,Buddingtonite
Calcite,Calcite,14,Calcite
Celestine,Celestine,113,Celestine
Chalcopyrite,Chalcopyrite,159,Chalcopyrite
Cinnabar,Cinnabar,107,Cinnabar
Clinoptilolite (Hector),Clinoptilolite-Na,78,Clinoptilolite (Hector)
Cordierite,Cordierite,154,Cordierite
Corundum (Standardless analysis only),Corundum,69,Corundum
Cristobalite,Cristobalite,106,Cristobalite
Diaspore,Diaspore,149,Diaspore
Dickite,Dickite,27,Dickite
Dolomite,Dolomite,17,Dolomite
Epidote,Epidote,84,Epidote
Ferrihydrite,Ferrihydrite,145,Ferrihydrite
Fluorapatite,Fluorapatite,68,Fluorapatite
Fluorite,Fluorite,77,Fluorite
Forsterite,Forsterite,71,Forsterite
Galena,Galena,115,Galena
Garnet (almandine),Almandine,76,Garnet (almandine)
Garnet (grossular),Grossular,75,Garnet (grossular)
Gibbsite,Gibbsite,87,Gibbsite
Glauconite,Celadonite,38,Glauconite
Goethite,Goethite,66,Goethite
Graphite,Graphite,117,Graphite
Gypsum,Gypsum,59,Gypsum
Halite,Halite,22,Halite
Halloysite,Halloysite-10A,23,Halloysite
Halloysite,Halloysite-7A,23,Halloysite
Hematite,Hematite,65,Hematite
Ilmenite,Ilmenite,91,Ilmenite
Iron,Iron,118,Iron
Jarosite,Jarosite,63,Jarosite
Kaolinite (disordered),Kaolinite,24,Kaolinite
Kspar (intermediate microcline),Microcline,3,Kspar (microcline)
Kspar (orthoclase),Orthoclase,5,Kspar (orthoclase)
Kspar (sanidine),Sanidine,4,Sandine/ Andesine
Lepidocrocite,Lepidocrocite,153,Lepidocrocite
Maghemite,Maghemite,67,Maghemite
Magnesite,Magnesite,20,Magnesite
Magnetite,Magnetite,64,Magnetite
Marcasite,Marcasite,57,Marcasite
Margarite,Margarite,116,Margarite
Mordenite,Mordenite,122,Mordenite
Muscovite (2M1),Muscovite,92,Muscovite (2M1)
Nahcolite,Nahcolite,165,Nahcolite
Natrite,Natrite,164,Natrite
Natrolite,Natrolite,140,Natrolite
Opal (Virgin Co.),Opal,79,Opal
Palygorskite,Palygorskite,127,Palygorskite
Phlogopite (2M1),Phlogopite,41,Phlogopite (2M1)
"Plagioclase (albite, var. cleavelandite)",Albite,7,Plagioclase (albite/ oligoclase)
Plagioclase (andesine),Sanidine,10,Sandine/ Andesine
Plagioclase (anorthite),Anorthite,13,Plagioclase (anorthite/ bytownite/ labradorite)
Prehnite,Prehnite,166,Prehnite
Pyrite,Pyrite,56,Pyrite
Pyrophyllite,Pyrophyllite,42,Pyrophyllite
Pyroxene (augite),Augite,142,Pyroxene (augite)
Pyroxene (diopside),Diopside,55,Pyroxene (diopside)
Pyroxene (enstatite),Enstatite,150,Pyroxene (enstatite)
Pyroxene (hedenbergite),Hedenbergite,158,Pyroxene (hedenbergite)
Pyrrhotite,Pyrrhotite,160,Pyrrhotite
Quartz,Quartz,1,Quartz
Ramsdellite,Ramsdellite,83,Ramsdellite
Rectorite (Rogue),Rectorite,132,Rectorite (Rogue)
Rutile,Rutile,74,Rutile
Sepiolite,Sepiolite,51,Sepiolite
Siderite,Siderite,21,Siderite
Sillimanite,Sillimanite,85,Sillimanite
Smectite (Ca-Kinney montmorillonite),Montmorillonite,29,Smectite (montmorillonite)
Smectite (ferruginous),Nontronite,32,Smectite (ferruginous)
Smectite (hectorite),Hectorite,31,Smectite (hectorite)
Smectite (Saponite),Saponite,30,Smectite (Saponite)
Sphalerite,Sphalerite,126,Sphalerite
Spinel,Spinel,111,Spinel
Strontianite,Strontianite,112,Strontianite
Sylvite,Sylvite,109,Sylvite
Talc,Talc,43,Talc
Thenardite,Thenardite,162,Thenardite
Titanite,Titanite,72,Titanite
Tobelite,Tobelite,143,Tobelite
Tridymite,Tridymite,130,Tridymite
Vermiculite (Kent),Vermiculite,133,Vermiculite (Kent)
Zincite,Zincite,135,Zincite
Zircon,Zircon,128,Zircon
Chlorite (CCa-2),Baileychlore,45,Chlorite
Chlorite (CCa-2),Borocookeite,45,Chlorite
Chlorite (CCa-2),Chamosite,45,Chlorite
Chlorite (CCa-2),Clinochlore,45,Chlorite
Chlorite (CCa-2),Cookeite,45,Chlorite
Chlorite (CCa-2),Donbassite,45,Chlorite
Chlorite (CCa-2),Franklinfurnaceite,45,Chlorite
Chlorite (CCa-2),Glagolevite,45,Chlorite
Chlorite (CCa-2),Gonyerite,45,Chlorite
Chlorite (CCa-2),Nimite,45,Chlorite
Chlorite (CCa-2),Pennantite,45,Chlorite
Chlorite (CCa-2),Sudoite,45,Chlorite
Amphibole (hornblende),Ferro-ferri-hornblende,157,Amphibole (hornblende)
Amphibole (hornblende),Ferro-hornblende,157,Amphibole (hornblende)
Amphibole (hornblende),Magnesio-ferri-fluoro-hornblende,157,Amphibole (hornblende)
Amphibole (hornblende),Magnesio-hornblende,157,Amphibole (hornblende)
Barite,Nitrobarite,61,Barite
Barite,Roterbarite,61,Barite
Barite,Arhbarite,61,Barite
Serpentine,Amesite,52,Serpentine
Serpentine,Antigorite,52,Serpentine
Serpentine,Brindleyite,52,Serpentine
Serpentine,Caryopilite,52,Serpentine
Serpentine,Chrysotile,52,Serpentine
Serpentine,Cronstedtite,52,Serpentine
Serpentine,Fraipontite,52,Serpentine
Serpentine,Guidottiite,52,Serpentine
Serpentine,Kellyite,52,Serpentine
Serpentine,Lizardite,52,Serpentine
Serpentine,Nepouite,52,Serpentine
Serpentine,Pecoraite,52,Serpentine
Illite,Boromuscovite,147,Illite
Illite,Chernykhite,147,Illite
Illite,Chromphyllite,147,Illite
Illite,Montdorite,147,Illite
Illite,Nanpingite,147,Illite
Illite,Paragonite,147,Illite
Illite,Roscoelite,147,Illite
Illite,Shirokshinite,147,Illite
Silver,Silver,141,Silver
Sulfur,Sulphur,129,Sulfur
Tourmaline,Adachiite,108,Tourmaline
Tourmaline,Bosiite,108,Tourmaline
Tourmaline,Chromium-dravite,108,Tourmaline
Tourmaline,Chromo-alumino-povondraite,108,Tourmaline
Tourmaline,Darrellhenryite,108,Tourmaline
Tourmaline,Dravite,108,Tourmaline
Tourmaline,Elbaite,108,Tourmaline
Tourmaline,Feruvite,108,Tourmaline
Tourmaline,Fluor-buergerite,108,Tourmaline
Tourmaline,Fluor-dravite,108,Tourmaline
Tourmaline,Fluor-elbaite,108,Tourmaline
Tourmaline,Fluor-liddicoatite,108,Tourmaline
Tourmaline,Fluor-schorl,108,Tourmaline
Tourmaline,Fluor-tsilaisite,108,Tourmaline
Tourmaline,Fluor-uvite,108,Tourmaline
Tourmaline,Foitite,108,Tourmaline
Tourmaline,Lucchesiite,108,Tourmaline
Tourmaline,Luinaite-(OH),108,Tourmaline
Tourmaline,Magnesio-foitite,108,Tourmaline
Tourmaline,Magnesio-lucchesiite,108,Tourmaline
Tourmaline,Maruyamaite,108,Tourmaline
Tourmaline,Olenite,108,Tourmaline
Tourmaline,Oxy-chromium-dravite,108,Tourmaline
Tourmaline,Oxy-dravite,108,Tourmaline
Tourmaline,Oxy-foitite,108,Tourmaline
Tourmaline,Oxy-schorl,108,Tourmaline
Tourmaline,Oxy-vanadium-dravite,108,Tourmaline
Tourmaline,Povondraite,108,Tourmaline
Tourmaline,Rossmanite,108,Tourmaline
Tourmaline,Schorl,108,Tourmaline
Tourmaline,Tsilaisite,108,Tourmaline
Tourmaline,Vanadio-oxy-chromium-dravite,108,Tourmaline
Tourmaline,Vanadio-oxy-dravite,108,Tourmaline